                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230126"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      660                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.9921527975631233E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.9921527975631233E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967264098841396E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967264098841396E+000                 -6.2967264098845614E+000                 -1.8309453238937749E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946699549105935E+000                  1.2076309248605904E+001                  1.0819342258518412E+000                  6.7428036396923041E-001                  3.3905368950286534E+000                  0.0000000000000000E+000                  1.3870176822230459E+001                 -7.7316131407067434E-001                  6.5164896469848070E+000                  6.2124534508305396E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861379E-003                  9.3805276451495410E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        3 
                                       5                                      658                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468975489504538E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468975489504538E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967264111654693E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967264111654693E+000                 -6.2967264111658912E+000                 -1.8309453312428275E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946657741085986E+000                  1.2075845146441093E+001                  1.0819175352489290E+000                  6.7428038027176329E-001                  3.3905368624235876E+000                  0.0000000000000000E+000                  1.3870176823204053E+001                 -7.7316131346526884E-001                  6.5164896473500349E+000                  6.2124534508282359E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      10                                      658                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468892438230041E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468892438230041E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967264200673085E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967264200673085E+000                 -6.2967264200677295E+000                 -1.8309453766622301E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668451372928E+000                  1.2075964516351965E+001                  1.0819218282351954E+000                  6.7428038470750917E-001                  3.3905368535520957E+000                  0.0000000000000000E+000                  1.3870176828827118E+001                 -7.7316131002297550E-001                  6.5164896495124625E+000                  6.2124534508144447E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      15                                      658                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468889043444491E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468889043444491E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967264524175661E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967264524175670E+000                 -6.2967264524179880E+000                 -1.8309455307676274E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668521034653E+000                  1.2075965271356010E+001                  1.0819218553878158E+000                  6.7428038435147486E-001                  3.3905368542641647E+000                  0.0000000000000000E+000                  1.3870176847909539E+001                 -7.7316129838995662E-001                  6.5164896568985116E+000                  6.2124534507672147E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      20                                      658                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468973206399329E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468973206399329E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967265239161447E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967265239161447E+000                 -6.2967265239165666E+000                 -1.8309458319317862E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668275244123E+000                  1.2075962503655353E+001                  1.0819217558514862E+000                  6.7428038374141497E-001                  3.3905368554842843E+000                  0.0000000000000000E+000                  1.3870176887646730E+001                 -7.7316127411108115E-001                  6.5164896722261227E+000                  6.2124534506693407E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      25                                      658                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2469343170398193E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2469343170398193E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967266440264336E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.2967266440264336E+000                 -6.2967266440268554E+000                 -1.8309462351819001E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668212465670E+000                  1.2075961755899723E+001                  1.0819217289595384E+000                  6.7428038285113245E-001                  3.3905368572648493E+000                  0.0000000000000000E+000                  1.3870176949739005E+001                 -7.7316123586543739E-001                  6.5164896958754603E+000                  6.2124534505191065E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      30                                      658                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2470950302436050E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2470950302436050E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967268127279752E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967268127279752E+000                 -6.2967268127283971E+000                 -1.8309466342861946E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668203579076E+000                  1.2075961532264984E+001                  1.0819217209168386E+000                  6.7428038060710083E-001                  3.3905368617529126E+000                  0.0000000000000000E+000                  1.3870177035365774E+001                 -7.7316118220501029E-001                  6.5164897275904332E+000                  6.2124534503199835E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      35                                      658                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2478187597437729E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2478187597437729E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967269898545242E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967269898545242E+000                 -6.2967269898549452E+000                 -1.8309469120526945E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668202694712E+000                  1.2075961185654124E+001                  1.0819217084514805E+000                  6.7428037455129408E-001                  3.3905368738645261E+000                  0.0000000000000000E+000                  1.3870177150122508E+001                 -7.7316110792331805E-001                  6.5164897677818807E+000                  6.2124534500738604E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
                                      40                                      658                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2512407153937224E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2512407153937224E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967270395060497E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.2967270395060497E+000                 -6.2967270395064716E+000                 -1.8309470061108538E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946668205118347E+000                  1.2075960329926232E+001                  1.0819216776764631E+000                  6.7428035867905944E-001                  3.3905369056089949E+000                  0.0000000000000000E+000                  1.3870177313690407E+001                 -7.7316099659520066E-001                  6.5164898197402499E+000                  6.2124534497708361E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861340E-003                  9.3805276451495410E-003                  3.4468833607861384E-003                  9.3805276451495393E-003                  1.4000000000000006E+000                  5.5994040472949824E-001                                        0                                        2 
