                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230130"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.7888543819998320E+003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  3.2525749891599527E+000                                     2477                  1.1387561605926662E+000                  2.2774740499228169E-001                  7.8127319473257466E-008                  9.9999999987213828E-001                  9.9999999960823172E-001                  2.2774740499228169E-001                  7.8127319473257466E-008                  9.9999999987213828E-001                  9.9999999960823172E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6390061807348301E+032                  1.9279947541757562E+033                  2.5003172466097874E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6333135254418388E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7167421261751916E+000                 -3.3740808895779537E+001                 -9.8999999999999986E+001                  2.7167421261751912E+000                  4.2341364879682519E+000                  5.6698984468633637E+002                  2.7535752803458462E+000                  4.3116782510091545E-001                  4.2747019814373211E+000                  1.8823569482018975E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4337690769240758E+000                  1.3156440189684002E+000                  1.6886413587014463E+001                  6.1730886958764519E-001                  8.4954213085397345E-001                  6.9908392884051263E-001                  2.8035354668801510E-001                  4.7754126439577562E-005                  9.3405622940266348E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  3.4987491934782371E+000                  1.4003458688943555E+000                  1.3591568679923356E+000                  2.6972477298427782E+000                 -3.3740808895779537E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.7888543819998320E+003                  3.6499999999999443E+002                  3.9055612262683735E+002                  9.0225119282192843E+000                  4.5112559641096418E+001                  2.0338252243377607E+002                  9.8321535717037150E+001                 -9.8673051109160614E-001                 -9.9096040021626719E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490902E+053                 -8.2874254393247233E+027                  0.0000000000000000E+000                 -8.2874254393247233E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.6436302246991836E+004                  5.0000000000000000E+000                 -9.8999999999999986E+001                  3.9652062035885760E+000                                     1002                  1.0991753386224070E+000                  2.1826415119728682E-001                  7.8127319306724012E-008                  9.9999999987870070E-001                  9.9999999961549180E-001                  2.1826415119728682E-001                  7.8127319306724012E-008                  9.9999999987870070E-001                  9.9999999961549180E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8987544747262707E+032                  1.9624257707866002E+033                  2.5152400238690678E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6757259806508941E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7320867248500682E+000                 -3.3644924586063233E+001                 -9.8999999999999986E+001                  2.7320867248500682E+000                  4.2330242977770096E+000                  5.4621506843503630E+002                  2.7373636768508027E+000                  4.2528640373587845E-001                  4.2864648241673944E+000                  1.9340372042592298E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4357001906577116E+000                  1.3190770946616623E+000                  1.6891756146703067E+001                  6.1740471642492312E-001                  8.4944130760821557E-001                  6.9888231466303985E-001                  2.8055750129181278E-001                  4.3459266022320686E-005                  9.3168879319326641E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4985067364053228E+000                  1.4005735707693376E+000                  1.3506200861589195E+000                  2.7136578193999381E+000                 -3.3644924586063233E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  4.6436302246991843E+004                  3.6499999999994208E+002                  3.9055612262679995E+002                  9.0225119282197142E+000                  4.5112559641098564E+001                  2.0338252243375655E+002                  9.8321535717027714E+001                 -9.8690900146058969E-001                 -9.9096311742516741E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298489736E+053                 -8.2874254393270323E+027                  0.0000000000000000E+000                 -8.2874254393270323E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  3.3395764619126602E+005                  5.0000000000000000E+000                 -9.8999999999999986E+001                  4.7570186640648240E+000                                     1003                  1.1536754429370100E+000                  2.2980838010886384E-001                  7.8127319306724012E-008                  9.9999999987870070E-001                  9.9999999961784425E-001                  2.2980838010886384E-001                  7.8127319306724012E-008                  9.9999999987870070E-001                  9.9999999961784425E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9975670839905033E+032                  1.9763200660853930E+033                  2.7027417478489277E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5604813661360791E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7296079606775328E+000                 -3.3637410541408109E+001                 -9.8999999999999986E+001                  2.7296079606775328E+000                  4.2317051204651568E+000                  5.3579733148392381E+002                  2.7290005462921734E+000                  4.2374319308027064E-001                  4.2895512454786102E+000                  1.9478308747288986E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4358272235602918E+000                  1.3164444229343382E+000                  1.6888889138432415E+001                  6.1800389174854775E-001                  8.4881134311133066E-001                  6.9762238250544406E-001                  2.8183572866050793E-001                  4.4534277718663107E-005                  9.1718836602405797E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4969222409139880E+000                  1.4020932869949683E+000                  1.3338237858389645E+000                  2.7117891346522036E+000                 -3.3637410541408109E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  3.3395764619126602E+005                  3.6499999999960448E+002                  3.9055612262655916E+002                  9.0225119282224959E+000                  4.5112559641112483E+001                  2.0338252243363118E+002                  9.8321535716967091E+001                 -9.8695543612375669E-001                 -9.9097812331715607E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298482220E+053                 -8.2874254393419449E+027                  0.0000000000000000E+000                 -8.2874254393419449E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  2.1142140237084259E+006                  5.0000000000000000E+000                 -9.8999999999999986E+001                  5.5488311245410724E+000                                      992                  1.2191737392380368E+000                  2.4298623596756930E-001                  7.8127319306724012E-008                  9.9999999987213828E-001                  9.9999999960446884E-001                  2.4298623596756930E-001                  7.8127319306724012E-008                  9.9999999987213828E-001                  9.9999999960446884E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1339324663772745E+032                  1.9822876142078932E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7304946712576679E+000                 -3.3678587465737309E+001                 -9.8999999999999986E+001                  2.7304946712576679E+000                  4.2295292253887373E+000                  5.3660755437258592E+002                  2.7296567823859283E+000                  4.2842310127998490E-001                  4.2801914290791823E+000                  1.9063007953936034E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4345334470169329E+000                  1.3087575265902964E+000                  1.6877455428436299E+001                  6.2165901123905754E-001                  8.4499615124188554E-001                  6.8999199715840576E-001                  2.8956247021094955E-001                  4.9999219280727128E-005                  8.4082820262079902E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4871653814165007E+000                  1.4117763495896734E+000                  1.3071406527736127E+000                  2.7137932181687696E+000                 -3.3678587465737309E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  2.1142140237084259E+006                  3.6499999999751265E+002                  3.9055612262506691E+002                  9.0225119282397337E+000                  4.5112559641198665E+001                  2.0338252243285410E+002                  9.8321535716591441E+001                 -9.8681410928583324E-001                 -9.9102844057256734E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298435661E+053                 -8.2874254394342874E+027                  0.0000000000000000E+000                 -8.2874254394342874E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  1.3137092277591309E+007                  5.0000000000000000E+000                 -9.8999999999999986E+001                  6.3406435850173199E+000                                      966                  1.1747326998842993E+000                  2.3310493897824724E-001                  7.8127319306724012E-008                  9.9999999984245069E-001                  9.9999999951737784E-001                  2.3310493897824724E-001                  7.8127319306724012E-008                  9.9999999984245069E-001                  9.9999999951737784E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2786792130212167E+032                  1.9321447172653456E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7514568937482999E+000                 -3.3674877041946296E+001                 -9.8999999999999986E+001                  2.7514568937482999E+000                  4.2206587605829000E+000                  5.6354284780729063E+002                  2.7509269423143667E+000                  4.5679911085587971E-001                  4.2234394099273924E+000                  1.6727822439142637E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4313588776379138E+000                  1.2860567563145575E+000                  1.6834693842505693E+001                  6.4711835673642581E-001                  8.1964484131241566E-001                  6.3928942618472173E-001                  3.4063207062006845E-001                  7.0836076369641931E-005                  5.5010022649746651E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4254558968422466E+000                  1.4737219681231659E+000                  1.2088142649463001E+000                  2.7388257715477029E+000                 -3.3674877041946296E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  1.3137092277591307E+007                  3.6499999998456093E+002                  3.9055612261582792E+002                  9.0225119283464519E+000                  4.5112559641732254E+001                  2.0338252242804288E+002                  9.8321535714265536E+001                 -9.8592379829159926E-001                 -9.9099370258789965E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298147374E+053                 -8.2874254400060995E+027                  0.0000000000000000E+000                 -8.2874254400060995E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  3.3330338415858444E+007                  5.0000000000000000E+000                 -9.8999999999999986E+001                  6.2386352766121149E+000                                      960                  1.0279714088618288E+000                  2.0383343266069176E-001                  7.8127318862634802E-008                  9.9999999977213816E-001                  9.9999999927784222E-001                  2.0383343266069176E-001                  7.8127318862634802E-008                  9.9999999977213816E-001                  9.9999999927784222E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4822035376050944E+032                  1.8278278452509319E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8001371007958684E+000                 -3.3142907283325478E+001                 -1.2467168558831528E+001                  2.8001371007958684E+000                  4.2075912199426426E+000                  6.3049109565090623E+002                  2.7996789574642413E+000                  5.0731019971133273E-001                  4.1224172322164865E+000                  1.3256144582615852E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4363920808795028E+000                  1.2761110932830910E+000                  1.6790499916400940E+001                  7.1055745256891611E-001                  7.6442415913426476E-001                  5.2884818919764853E-001                  4.5141372420241649E-001                  9.2238170908759347E-005                  2.8092624903231973E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.3031376959860701E+000                  1.5963226642010917E+000                  1.0470240748013262E+000                  2.7924007937747546E+000                 -3.3142907283325478E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  3.3330338415858444E+007                  3.6499999996083420E+002                  3.9055612259890256E+002                  9.0225119285419542E+000                  4.5112559642709762E+001                  2.0338252241922899E+002                  9.8321535710004639E+001                 -9.8418764447667451E-001                 -9.9095645168095425E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991297619256E+053                 -8.2874254412916737E+027                  0.0000000000000000E+000                 -8.2874254412916737E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  4.8604937082598358E+007                  5.0000000000000000E+000                 -9.8999999999999986E+001                  6.1368231561907516E+000                                      953                  8.9401032100044431E-001                  1.7792930577266663E-001                  7.8127319084679407E-008                  9.9999999967057618E-001                  9.9999999894652969E-001                  1.7792930577266663E-001                  7.8127319084679407E-008                  9.9999999967057618E-001                  9.9999999894652969E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5291766964961282E+032                  1.7108896487462057E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8426363995576782E+000                 -3.2489603123650582E+001                 -1.2643259817887209E+001                  2.8426363995576782E+000                  4.1944524130730931E+000                  6.9523699394850394E+002                  2.8421328731072437E+000                  5.5481477127193313E-001                  4.0274080890952852E+000                  1.0651434206571339E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4452116870028684E+000                  1.2829050093640220E+000                  1.6764759167933942E+001                  7.8420833418031799E-001                  7.1153957244311561E-001                  4.2307908874783207E-001                  5.5733122553243819E-001                  1.0410829119864377E-004                  1.6396326552963081E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.2005822417681102E+000                  1.6989862566121352E+000                  8.8189785407848953E-001                  2.8378563367278149E+000                 -3.2489603123650582E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  4.8604937082598366E+007                  3.6499999994288703E+002                  3.9055612258610000E+002                  9.0225119286898323E+000                  4.5112559643449153E+001                  2.0338252241256205E+002                  9.8321535706781617E+001                 -9.8235989597026552E-001                 -9.9094237331995794E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991297219777E+053                 -8.2874254422650230E+027                  0.0000000000000000E+000                 -8.2874254422650230E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  6.0667982349521175E+007                  5.0000000000000000E+000                 -9.8999999999999986E+001                  6.0350519120457715E+000                                      952                  7.6830292212935447E-001                  1.5184969948057392E-001                  7.8127319528768617E-008                  9.9999999949245155E-001                  9.9999999842736742E-001                  1.5184969948057392E-001                  7.8127319528768617E-008                  9.9999999949245155E-001                  9.9999999842736742E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4122229278780319E+032                  1.5586602267590041E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8794616613016282E+000                 -3.1729696282591483E+001                 -9.8999999999999986E+001                  2.8794616613016282E+000                  4.1789248010961542E+000                  7.5660263962881879E+002                  2.8788678521222426E+000                  6.0423748473330829E-001                  3.9285626621725354E+000                  8.4832577429362809E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4564598993000395E+000                  1.3019112724778574E+000                  1.6749068432979204E+001                  8.7514278511282662E-001                  6.5853143414201232E-001                  3.1706284791796840E-001                  6.6342619982831175E-001                  1.1312277647084219E-004                  1.0226427771412264E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.1119613879110481E+000                  1.7876509441777608E+000                  6.9043855570755797E-001                  2.8766421737152763E+000                 -3.1729696282591483E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  6.0667982349521190E+007                  3.6499999992871329E+002                  3.9055612257598926E+002                  9.0225119288066224E+000                  4.5112559644033098E+001                  2.0338252240729688E+002                  9.8321535704236254E+001                 -9.8023376950175867E-001                 -9.9093490269200935E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991296904293E+053                 -8.2874254430337652E+027                  0.0000000000000000E+000                 -8.2874254430337652E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  7.0201714758728296E+007                  5.0000000000000000E+000                 -9.8999999999999986E+001                  5.9320262928343928E+000                                      952                  6.4778817502396213E-001                  1.2859062543813737E-001                  7.8127319750813222E-008                  9.9999999922370175E-001                  9.9999999757627311E-001                  1.2859062543813737E-001                  7.8127319750813222E-008                  9.9999999922370175E-001                  9.9999999757627311E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1304489813385057E+032                  1.4040254153764657E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9102729616463652E+000                 -3.0786406787396661E+001                 -1.2245319809215172E+001                  2.9102729616463652E+000                  4.1605513218260741E+000                  8.1201832948156982E+002                  2.9095658325698173E+000                  6.5633343349725759E-001                  3.8243707646446365E+000                  6.6737627664860902E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4708548342674863E+000                  1.3359949041147869E+000                  1.6745903537786727E+001                  9.9013133069167847E-001                  6.0544556423756579E-001                  2.1089112298166346E-001                  7.6964204745747555E-001                  1.2161553377857958E-004                  6.8134185280163846E-004                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.0363290015884212E+000                  1.8632981461730758E+000                  4.6127170818813840E-001                  2.9087257260587625E+000                 -3.0786406787396661E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  7.0201714758728310E+007                  3.6499999991751110E+002                  3.9055612256799822E+002                  9.0225119288989255E+000                  4.5112559644494617E+001                  2.0338252240313554E+002                  9.8321535702224551E+001                 -9.7771463229698352E-001                 -9.9093001148086712E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991296654951E+053                 -8.2874254436414796E+027                  0.0000000000000000E+000                 -8.2874254436414796E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
