                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230116"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                log_rotational_mdot_boost                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                           center_entropy                             center_omega              center_omega_div_omega_crit                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                rel_E_err                            log_rel_E_err                        log_rel_run_E_err                         virial_thm_P_avg                       virial_thm_rel_err               log_total_angular_momentum                              num_retries                                num_iters                    num_solver_iterations 
                                       1                                      445                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0782589404657854E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0782589404657854E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9194461855597009E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9194461855597009E+001                 -1.9194461855597009E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6028839496879937E+002                  3.6052147815833289E+000                  4.9835304258174533E+000                  2.8039888106065662E+000                  5.2906001042601936E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6162663849200509E+000                 -5.5800880938267774E+000                  8.3401075985525921E+000                  8.3401075985525921E+000                 -5.5800880938267774E+000                  5.6162663849200509E+000                  6.2198883632015212E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7994568718657078E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  6.0415086285180581E-013                 -1.2218854599916945E+001                 -1.2218854599916945E+001                  1.3921162720274441E+049                  4.1543619085292361E-005                 -9.8999999999999986E+001                                        0                                        2                                        2 
                                      10                                      455                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0441823582167598E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0441823582167598E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9194458000370084E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9194458000370084E+001                 -1.9194458000370084E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5699271804346859E+002                  3.6055863424241306E+000                  4.9850212051510008E+000                  2.8039910785917361E+000                  5.2905547445567969E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6162665974066082E+000                 -5.5800874002939169E+000                  8.3401084858491483E+000                  8.3401084858491483E+000                 -5.5800874002939169E+000                  5.6162665974066082E+000                  6.2198883601930255E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7994566922499729E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  5.8787494084885103E-013                 -1.2230715051943960E+001                 -1.1224558823861173E+001                  1.3921168766153183E+049                  4.1495684995498537E-005                 -9.8999999999999986E+001                                        0                                        2                                        2 
                                      20                                      455                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0512668165099447E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0512668165099447E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9194428256068861E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9194428256068861E+001                 -1.9194428256068861E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5767286356110162E+002                  3.6055113890552772E+000                  4.9847155684226454E+000                  2.8039881669652651E+000                  5.2906129770862143E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6162682403746418E+000                 -5.5800822449390610E+000                  8.3401152090833595E+000                  8.3401152090833595E+000                 -5.5800822449390610E+000                  5.6162682403746418E+000                  6.2198883366834323E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7994555355571855E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  5.5296795996279387E-013                 -1.2257300031831786E+001                 -1.0933002979136250E+001                  1.3921222255832403E+049                  4.1504636420612507E-005                 -9.8999999999999986E+001                                        0                                        2                                        2 
                                      30                                      455                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0691499571416466E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0691499571416466E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9194244802286885E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9194244802286885E+001                 -1.9194244802286885E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5838113075102251E+002                  3.6054403336770964E+000                  4.9844067792905333E+000                  2.8039758831555712E+000                  5.2908586532800872E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6162783732943504E+000                 -5.5800504244584097E+000                  8.3401566909350890E+000                  8.3401566909350890E+000                 -5.5800504244584097E+000                  5.6162783732943504E+000                  6.2198881917189897E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7994483735885254E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  6.0255709059368563E-013                 -1.2220001798620011E+001                 -1.0755804410022339E+001                  1.3921551310860963E+049                  4.1510678762348310E-005                 -9.8999999999999986E+001                                        0                                        2                                        2 
                                      40                                      456                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0806967586381142E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0806967586381142E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9193109187804232E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9193109187804232E+001                 -1.9193109187804232E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5906487211101455E+002                  3.6054111723570985E+000                  4.9841614109771832E+000                  2.8039115216388910E+000                  5.2921458836136959E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6163410990003815E+000                 -5.5798534360664389E+000                  8.3404134825336200E+000                  8.3404134825336200E+000                 -5.5798534360664389E+000                  5.6163410990003815E+000                  6.2198872943501904E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7994040273358166E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  5.8458695222744057E-013                 -1.2233150882168559E+001                 -1.0632765318198121E+001                  1.3923587873664089E+049                  4.1497098192014150E-005                 -9.8999999999999986E+001                                        0                                        2                                        2 
                                      50                                      456                  4.5497190750010669E-001                 -1.1201189436663841E+000                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0995078903406046E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9992997301010456E-001                  6.0995078903406046E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9186087365079320E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9186087365079320E+001                 -1.9186087365079320E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.6110264381029003E+002                  3.6054576441611443E+000                  4.9836088482926044E+000                  2.8035422966885100E+000                  5.2995303826213180E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6167289883174663E+000                 -5.5786349254523602E+000                  8.3420016916415882E+000                  8.3420016916415882E+000                 -5.5786349254523602E+000                  5.6167289883174663E+000                  6.2198817451883726E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7991293998676198E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  6.1630279981597979E-013                 -1.2210205859298581E+001                 -1.0535690190576373E+001                  1.3936188119698926E+049                  4.1388907267148925E-005                 -9.8999999999999986E+001                                        0                                        2                                        2 
                                      60                                      456                  2.8173257176583335E+000                 -3.2830648319013606E-001                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9993261155689295E-001                  6.3491757855749120E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9993261155689295E-001                  6.3491757855749120E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9142992175753136E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9142992175753136E+001                 -1.9142992175753136E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7324866412486324E+002                  3.6057756044277482E+000                  4.9803967657369919E+000                  2.8013003348774967E+000                  5.3443696188415823E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6191109174761023E+000                 -5.5711381670405036E+000                  8.3517639359341747E+000                  8.3517639359341747E+000                 -5.5711381670405036E+000                  5.6191109174761023E+000                  6.2198476751070841E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7974271817712925E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  6.1863612747364208E-013                 -1.2208564721409621E+001                 -1.0458792509845930E+001                  1.4013837741289727E+049                  4.0731240471613766E-005                 -9.8999999999999986E+001                                        0                                        3                                        3 
                                      70                                      457                  1.3325569882827418E+001                  8.3294735574505951E-002                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9993788865046973E-001                  7.4420453517509699E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9993788865046973E-001                  7.4420453517509699E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8958739164881784E+001                 -9.8999999999999986E+001                 -3.4618449501357837E+001                 -1.8958739164881784E+001                 -1.8958739164881784E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0265030006695156E+003                  3.6072035722394817E+000                  4.9668764515154971E+000                  2.7916842421432819E+000                  5.5366914735258732E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6293204864905446E+000                 -5.5387174878359424E+000                  8.3937993410100269E+000                  8.3937993410100269E+000                 -5.5387174878359424E+000                  5.6293204864905446E+000                  6.2197021425778642E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7898116737643868E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  5.8739113977960731E-013                 -1.2231072608670974E+001                 -9.9962321617904255E+000                  1.4352168021771002E+049                  3.8026440923501457E-005                 -9.8999999999999986E+001                                        1                                        3                                        3 
                                      80                                      460                  5.1061809571954356E+001                  8.7510719605075415E-001                  5.0000000000000000E+001                  3.4997475914696686E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9994834105011776E-001                  1.5053524882940764E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994834105011776E-001                  1.5053524882940764E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8379650439373016E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8379650439373016E+001                 -1.8379650439373016E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2146833929990996E+003                  3.6117482201894999E+000                  4.9242007350009089E+000                  2.7612570879859510E+000                  6.1452345566724931E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.6617390258945681E+000                 -5.4325297462195383E+000                  8.5294520890231169E+000                  8.5294520890231169E+000                 -5.4325297462195383E+000                  5.6617390258945681E+000                  6.2192633484505988E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  3.7620745573608950E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861353E-003                  9.3805276451495428E-003                  3.4468833607861548E-003                  9.3805276451495428E-003                  3.5000000000000043E+001                  1.3998510118237434E+001                  5.5976405691871883E-013                 -1.2251994991512971E+001                 -9.6240696790293185E+000                  1.5484571229918781E+049                  3.0640952119350929E-005                 -9.8999999999999986E+001                                        1                                        4                                        4 
